,Commodity,Date,Weighted Avg Price,Spring,Summer,Fall,Winter,Commodity Type
2126,APPLES GALA,11/29/2019,1.49,Yes,Yes,Yes,Yes,Fruit
481,CABBAGE ROUND GREEN TYPE,11/29/2019,0.56,Yes,No,Yes,Yes,Vegetable
2123,APPLES BRAEBURN,11/29/2019,1.49,Yes,Yes,Yes,Yes,Fruit
167,BROCCOLI CROWN CUT,11/29/2019,0.94,Yes,No,Yes,No,Vegetable
2125,APPLES GALA,11/29/2019,0.97,Yes,Yes,Yes,Yes,Fruit
2124,APPLES FUJI,11/29/2019,1.29,Yes,Yes,Yes,Yes,Fruit
942,ASPARAGUS GREEN,11/8/2019,2.3,Yes,No,No,No,Vegetable
82,EGGPLANT  ,11/8/2019,0.5,No,Yes,No,No,Vegetable
2137,APPLES HONEYCRISP,11/8/2019,2.05,Yes,Yes,Yes,Yes,Fruit
699,TOMATOES VINE RIPES,11/8/2019,0.68,No,Yes,No,No,Fruit
700,TOMATOES VINE RIPES,11/8/2019,3.49,No,Yes,No,No,Fruit
701,"TOMATOES VINE RIPES, ON THE VINE",11/8/2019,1.6,No,Yes,No,No,Fruit
698,TOMATOES  ,11/8/2019,0.85,No,Yes,No,No,Fruit
702,"TOMATOES VINE RIPES, ON THE VINE",11/8/2019,2.84,No,Yes,No,No,Fruit
482,CABBAGE ROUND GREEN TYPE,11/8/2019,0.99,Yes,No,Yes,Yes,Vegetable
402,CAULIFLOWER  ,11/8/2019,0.99,No,No,Yes,No,Vegetable
344,CARROTS  ,11/8/2019,0.33,Yes,Yes,Yes,Yes,Vegetable
401,CAULIFLOWER  ,11/8/2019,1.99,No,No,Yes,No,Vegetable
1834,PEARS D'ANJOU,11/8/2019,1.89,No,No,Yes,Yes,Fruit
483,CABBAGE ROUND GREEN TYPE,11/8/2019,0.45,Yes,No,Yes,Yes,Vegetable
1833,PEARS D'ANJOU,11/8/2019,0.98,No,No,Yes,Yes,Fruit
1832,PEARS BARTLETT,11/8/2019,0.91,No,No,Yes,Yes,Fruit
1831,PEARS BARTLETT,11/8/2019,1.94,No,No,Yes,Yes,Fruit
1830,PEARS BOSC,11/8/2019,0.99,No,No,Yes,Yes,Fruit
941,ASPARAGUS GREEN,11/8/2019,3.5,Yes,No,No,No,Vegetable
2138,APPLES GRANNY SMITH,11/8/2019,1.49,Yes,Yes,Yes,Yes,Fruit
2136,APPLES HONEYCRISP,11/8/2019,2.23,Yes,Yes,Yes,Yes,Fruit
298,BRUSSELS SPROUTS  ,11/8/2019,2.28,No,No,Yes,Yes,Vegetable
1300,GRAPES BLACK SEEDLESS,11/8/2019,1.97,No,No,Yes,No,Fruit
1299,GRAPES BLACK SEEDLESS,11/8/2019,2.99,No,No,Yes,No,Fruit
606,TOMATILLOS  ,11/8/2019,0.63,No,Yes,No,No,Fruit
1298,GRAPES RED GLOBE,11/8/2019,0.99,No,No,Yes,No,Fruit
1297,GRAPES RED SEEDLESS,11/8/2019,1.97,No,No,Yes,No,Fruit
1296,GRAPES RED SEEDLESS,11/8/2019,3.01,No,No,Yes,No,Fruit
1295,GRAPES WHITE SEEDLESS TYPE,11/8/2019,2.07,No,No,Yes,No,Fruit
1138,LIMES  ,11/8/2019,0.77,Yes,Yes,Yes,Yes,Fruit
2144,APPLES BRAEBURN,11/8/2019,1.34,Yes,Yes,Yes,Yes,Fruit
2145,APPLES RED DELICIOUS,11/8/2019,0.89,Yes,Yes,Yes,Yes,Fruit
170,BROCCOLI BABY HYBRID TYPE,11/8/2019,2.99,Yes,No,Yes,No,Vegetable
169,BROCCOLI CROWN CUT,11/8/2019,1.69,Yes,No,Yes,No,Vegetable
1294,GRAPES WHITE SEEDLESS TYPE,11/8/2019,3.02,No,No,Yes,No,Fruit
2135,APPLES JONAGOLD,11/8/2019,1.91,Yes,Yes,Yes,Yes,Fruit
1191,LEMONS  ,11/8/2019,0.5,Yes,Yes,Yes,Yes,Fruit
2134,APPLES PINK LADY/CRIPPS PINK,11/8/2019,1.84,Yes,Yes,Yes,Yes,Fruit
556,SWEET POTATOES  ,11/8/2019,0.82,No,No,Yes,Yes,Vegetable
557,SWEET POTATOES  ,11/8/2019,2.29,No,No,Yes,Yes,Vegetable
171,BROCCOLI  ,11/8/2019,1.99,Yes,No,Yes,No,Vegetable
2143,APPLES FUJI,11/8/2019,1.3,Yes,Yes,Yes,Yes,Fruit
2581,BANANAS  ,11/8/2019,0.38,Yes,Yes,Yes,Yes,Fruit
10,CUCUMBERS  ,11/8/2019,0.25,No,Yes,No,No,Vegetable
2139,APPLES GRANNY SMITH,11/8/2019,1.43,Yes,Yes,Yes,Yes,Fruit
1493,GRAPEFRUIT RED,11/8/2019,0.31,No,No,No,Yes,Fruit
2140,APPLES GALA,11/8/2019,1.67,Yes,Yes,Yes,Yes,Fruit
1022,ORANGES VALENCIA,11/8/2019,0.74,No,No,No,Yes,Fruit
1023,ORANGES NAVEL,11/8/2019,1.49,No,No,No,Yes,Fruit
1024,ORANGES NAVEL,11/8/2019,1.1,No,No,No,Yes,Fruit
1715,PINEAPPLES  ,11/8/2019,0.99,Yes,No,Yes,Yes,Fruit
2141,APPLES GALA,11/8/2019,1.04,Yes,Yes,Yes,Yes,Fruit
2142,APPLES FUJI,11/8/2019,1.98,Yes,Yes,Yes,Yes,Fruit
1716,PINEAPPLES  ,11/8/2019,0.51,Yes,No,Yes,Yes,Fruit
1717,PINEAPPLES  ,12/13/2019,1.45,Yes,No,Yes,Yes,Fruit
703,TOMATOES  ,12/13/2019,0.49,No,Yes,No,No,Fruit
1494,GRAPEFRUIT RED,12/13/2019,0.5,No,No,No,Yes,Fruit
2693,CELERY  ,12/13/2019,2.26,Yes,Yes,Yes,Yes,Vegetable
11,CUCUMBERS LONG SEEDLESS,12/13/2019,0.66,No,Yes,No,No,Vegetable
708,"TOMATOES VINE RIPES, ON THE VINE",12/13/2019,1.45,No,Yes,No,No,Fruit
707,"TOMATOES VINE RIPES, ON THE VINE",12/13/2019,2.08,No,Yes,No,No,Fruit
706,TOMATOES VINE RIPES,12/13/2019,0.79,No,Yes,No,No,Fruit
705,TOMATOES VINE RIPE - HEIRLOOM VARIETIES,12/13/2019,4.99,No,Yes,No,No,Fruit
704,TOMATOES VINE RIPE - HEIRLOOM VARIETIES,12/13/2019,3.99,No,Yes,No,No,Fruit
1718,PINEAPPLES  ,12/13/2019,0.58,Yes,No,Yes,Yes,Fruit
559,SWEET POTATOES  ,12/13/2019,1.51,No,No,Yes,Yes,Vegetable
484,CABBAGE ROUND GREEN TYPE,12/13/2019,0.99,Yes,No,Yes,Yes,Vegetable
1304,GRAPES RED GLOBE,12/13/2019,1.29,No,No,Yes,No,Fruit
1025,ORANGES NAVEL,12/13/2019,0.82,No,No,No,Yes,Fruit
1026,ORANGES NAVEL,12/13/2019,1.49,No,No,No,Yes,Fruit
1027,ORANGES VALENCIA,12/13/2019,1.19,No,No,No,Yes,Fruit
1028,ORANGES VALENCIA,12/13/2019,1.99,No,No,No,Yes,Fruit
1303,GRAPES RED SEEDLESS,12/13/2019,2.27,No,No,Yes,No,Fruit
1302,GRAPES RED SEEDLESS,12/13/2019,3.69,No,No,Yes,No,Fruit
1301,GRAPES WHITE SEEDLESS TYPE,12/13/2019,2.42,No,No,Yes,No,Fruit
2582,BANANAS  ,12/13/2019,0.37,Yes,Yes,Yes,Yes,Fruit
2583,BANANAS  ,12/13/2019,0.69,Yes,Yes,Yes,Yes,Fruit
607,TOMATILLOS  ,12/13/2019,0.89,No,Yes,No,No,Fruit
1139,LIMES  ,12/13/2019,0.66,Yes,Yes,Yes,Yes,Fruit
2146,APPLES JONAGOLD,12/13/2019,2.99,Yes,Yes,Yes,Yes,Fruit
2147,APPLES RED DELICIOUS,12/13/2019,1.99,Yes,Yes,Yes,Yes,Fruit
2148,APPLES RED DELICIOUS,12/13/2019,0.66,Yes,Yes,Yes,Yes,Fruit
2149,APPLES BRAEBURN,12/13/2019,1.84,Yes,Yes,Yes,Yes,Fruit
174,BROCCOLI  ,12/13/2019,0.94,Yes,No,Yes,No,Vegetable
173,BROCCOLI CROWN CUT,12/13/2019,1.41,Yes,No,Yes,No,Vegetable
172,BROCCOLI CROWN CUT,12/13/2019,1.99,Yes,No,Yes,No,Vegetable
1192,LEMONS  ,12/13/2019,0.72,Yes,Yes,Yes,Yes,Fruit
2150,APPLES FUJI,12/13/2019,1.26,Yes,Yes,Yes,Yes,Fruit
2151,APPLES PINK LADY/CRIPPS PINK,12/13/2019,1.76,Yes,Yes,Yes,Yes,Fruit
113,BEETS  ,12/13/2019,0.35,No,Yes,Yes,Yes,Vegetable
1305,GRAPES BLACK SEEDLESS,12/13/2019,2.05,No,No,Yes,No,Fruit
403,CAULIFLOWER  ,12/13/2019,1.04,No,No,Yes,No,Vegetable
1836,PEARS D'ANJOU,12/13/2019,1.88,No,No,Yes,Yes,Fruit
2158,APPLES GALA,12/13/2019,1.98,Yes,Yes,Yes,Yes,Fruit
299,BRUSSELS SPROUTS  ,12/13/2019,1.99,No,No,Yes,Yes,Vegetable
1840,PEARS BARTLETT,12/13/2019,0.89,No,No,Yes,Yes,Fruit
2160,APPLES GRANNY SMITH,12/13/2019,1.1,Yes,Yes,Yes,Yes,Fruit
2159,APPLES GALA,12/13/2019,1.22,Yes,Yes,Yes,Yes,Fruit
1837,PEARS D'ANJOU,12/13/2019,1.01,No,No,Yes,Yes,Fruit
2522,CHERRIES RED VARIETIES,12/13/2019,6.63,No,Yes,No,No,Fruit
2157,APPLES GOLDEN DELICIOUS,12/13/2019,1.99,Yes,Yes,Yes,Yes,Fruit
2156,APPLES PINK LADY/CRIPPS PINK,12/13/2019,1.28,Yes,Yes,Yes,Yes,Fruit
2155,APPLES GRANNY SMITH,12/13/2019,1.96,Yes,Yes,Yes,Yes,Fruit
558,SWEET POTATOES  ,12/13/2019,0.74,No,No,Yes,Yes,Vegetable
2154,APPLES HONEYCRISP,12/13/2019,1.95,Yes,Yes,Yes,Yes,Fruit
2153,APPLES HONEYCRISP,12/13/2019,2.5,Yes,Yes,Yes,Yes,Fruit
2152,APPLES FUJI,12/13/2019,1.87,Yes,Yes,Yes,Yes,Fruit
943,ASPARAGUS GREEN,12/13/2019,1.96,Yes,No,No,No,Vegetable
1835,PEARS BOSC,12/13/2019,1.02,No,No,Yes,Yes,Fruit
345,CARROTS  ,12/13/2019,0.34,Yes,Yes,Yes,Yes,Vegetable
485,CABBAGE ROUND GREEN TYPE,12/13/2019,0.41,Yes,No,Yes,Yes,Vegetable
1839,PEARS BARTLETT,12/13/2019,1.99,No,No,Yes,Yes,Fruit
1838,PEARS BOSC,12/13/2019,1.92,No,No,Yes,Yes,Fruit
2165,APPLES FUJI,12/20/2019,1.69,Yes,Yes,Yes,Yes,Fruit
2168,APPLES HONEYCRISP,12/20/2019,1.95,Yes,Yes,Yes,Yes,Fruit
2161,APPLES GRANNY SMITH,12/20/2019,1.52,Yes,Yes,Yes,Yes,Fruit
2162,APPLES GRANNY SMITH,12/20/2019,1.35,Yes,Yes,Yes,Yes,Fruit
2163,APPLES GOLDEN DELICIOUS,12/20/2019,1.25,Yes,Yes,Yes,Yes,Fruit
2164,APPLES GALA,12/20/2019,1.68,Yes,Yes,Yes,Yes,Fruit
2166,APPLES FUJI,12/20/2019,0.78,Yes,Yes,Yes,Yes,Fruit
2167,APPLES GALA,12/20/2019,1.39,Yes,Yes,Yes,Yes,Fruit
175,BROCCOLI CROWN CUT,12/20/2019,1.99,Yes,No,Yes,No,Vegetable
300,BRUSSELS SPROUTS  ,12/20/2019,2.06,No,No,Yes,Yes,Vegetable
12,CUCUMBERS  ,12/20/2019,0.79,No,Yes,No,No,Vegetable
1719,PINEAPPLES  ,12/20/2019,0.74,Yes,No,Yes,Yes,Fruit
1720,PINEAPPLES  ,12/20/2019,1.23,Yes,No,Yes,Yes,Fruit
1541,PEACHES VARIOUS YELLOW FLESH VARIETIES,12/20/2019,1.79,No,Yes,No,No,Fruit
2723,AVOCADOS HASS,12/20/2019,1.5,Yes,Yes,No,Yes,Vegetable
2695,CELERY  ,12/20/2019,1.99,Yes,Yes,Yes,Yes,Vegetable
2694,CELERY HEARTS,12/20/2019,2.99,Yes,Yes,Yes,Yes,Vegetable
1495,GRAPEFRUIT RED,12/20/2019,0.5,No,No,No,Yes,Fruit
1841,PEARS BARTLETT,12/20/2019,1.41,No,No,Yes,Yes,Fruit
1842,PEARS BOSC,12/20/2019,1.27,No,No,Yes,Yes,Fruit
1843,PEARS BOSC,12/20/2019,2.13,No,No,Yes,Yes,Fruit
1844,PEARS D'ANJOU,12/20/2019,1.4,No,No,Yes,Yes,Fruit
1845,PEARS D'ANJOU,12/20/2019,1.92,No,No,Yes,Yes,Fruit
1309,GRAPES WHITE SEEDLESS TYPE,12/20/2019,2.8,No,No,Yes,No,Fruit
944,ASPARAGUS GREEN,12/20/2019,3.21,Yes,No,No,No,Vegetable
1308,GRAPES RED SEEDLESS,12/20/2019,3.99,No,No,Yes,No,Fruit
1306,GRAPES BLACK SEEDLESS,12/20/2019,1.5,No,No,Yes,No,Fruit
114,BEETS  ,12/20/2019,0.5,No,Yes,Yes,Yes,Vegetable
1193,LEMONS  ,12/20/2019,0.88,Yes,Yes,Yes,Yes,Fruit
2169,APPLES HONEYCRISP,12/20/2019,2.5,Yes,Yes,Yes,Yes,Fruit
176,BROCCOLI CROWN CUT,12/20/2019,0.88,Yes,No,Yes,No,Vegetable
177,BROCCOLI  ,12/20/2019,0.99,Yes,No,Yes,No,Vegetable
178,BROCCOLI  ,12/20/2019,0.57,Yes,No,Yes,No,Vegetable
1140,LIMES  ,12/20/2019,0.63,Yes,Yes,Yes,Yes,Fruit
2585,BANANAS  ,12/20/2019,0.69,Yes,Yes,Yes,Yes,Fruit
2584,BANANAS  ,12/20/2019,0.39,Yes,Yes,Yes,Yes,Fruit
1030,ORANGES NAVEL,12/20/2019,2.22,No,No,No,Yes,Fruit
1029,ORANGES NAVEL,12/20/2019,0.92,No,No,No,Yes,Fruit
404,CAULIFLOWER  ,12/20/2019,0.99,No,No,Yes,No,Vegetable
2523,CHERRIES RED VARIETIES,12/20/2019,4.99,No,Yes,No,No,Fruit
1307,GRAPES RED SEEDLESS,12/20/2019,1.95,No,No,Yes,No,Fruit
2170,APPLES RED DELICIOUS,12/20/2019,0.33,Yes,Yes,Yes,Yes,Fruit
405,CAULIFLOWER  ,12/20/2019,0.81,No,No,Yes,No,Vegetable
346,CARROTS  ,12/20/2019,0.36,Yes,Yes,Yes,Yes,Vegetable
561,SWEET POTATOES  ,12/20/2019,1.01,No,No,Yes,Yes,Vegetable
608,TOMATILLOS  ,12/20/2019,0.79,No,Yes,No,No,Fruit
560,SWEET POTATOES  ,12/20/2019,1.52,No,No,Yes,Yes,Vegetable
709,"TOMATOES VINE RIPES, ON THE VINE",12/20/2019,2.61,No,Yes,No,No,Fruit
710,"TOMATOES VINE RIPES, ON THE VINE",12/20/2019,1.97,No,Yes,No,No,Fruit
486,CABBAGE ROUND GREEN TYPE,12/20/2019,0.35,Yes,No,Yes,Yes,Vegetable
712,TOMATOES VINE RIPE - HEIRLOOM VARIETIES,12/20/2019,3.99,No,Yes,No,No,Fruit
713,TOMATOES  ,12/20/2019,0.5,No,Yes,No,No,Fruit
711,TOMATOES VINE RIPE - HEIRLOOM VARIETIES,12/20/2019,4.88,No,Yes,No,No,Fruit
2179,APPLES GALA,12/27/2019,1.74,Yes,Yes,Yes,Yes,Fruit
2178,APPLES GRANNY SMITH,12/27/2019,1.49,Yes,Yes,Yes,Yes,Fruit
2180,APPLES GRANNY SMITH,12/27/2019,0.78,Yes,Yes,Yes,Yes,Fruit
2177,APPLES HONEYCRISP,12/27/2019,1.75,Yes,Yes,Yes,Yes,Fruit
2176,APPLES HONEYCRISP,12/27/2019,2.99,Yes,Yes,Yes,Yes,Fruit
2175,APPLES PINK LADY/CRIPPS PINK,12/27/2019,0.88,Yes,Yes,Yes,Yes,Fruit
2174,APPLES RED DELICIOUS,12/27/2019,0.79,Yes,Yes,Yes,Yes,Fruit
2173,APPLES FUJI,12/27/2019,1.78,Yes,Yes,Yes,Yes,Fruit
2172,APPLES FUJI,12/27/2019,0.97,Yes,Yes,Yes,Yes,Fruit
2171,APPLES BRAEBURN,12/27/2019,0.99,Yes,Yes,Yes,Yes,Fruit
2182,APPLES GALA,12/27/2019,0.89,Yes,Yes,Yes,Yes,Fruit
609,TOMATILLOS  ,12/27/2019,0.62,No,Yes,No,No,Fruit
1849,PEARS BOSC,12/27/2019,1.99,No,No,Yes,Yes,Fruit
1542,PEACHES VARIOUS YELLOW FLESH VARIETIES,12/27/2019,1.99,No,Yes,No,No,Fruit
2587,BANANAS  ,12/27/2019,0.38,Yes,Yes,Yes,Yes,Fruit
2586,BANANAS  ,12/27/2019,0.99,Yes,Yes,Yes,Yes,Fruit
13,CUCUMBERS LONG SEEDLESS,12/27/2019,0.59,No,Yes,No,No,Vegetable
1032,ORANGES NAVEL,12/27/2019,0.98,No,No,No,Yes,Fruit
1031,ORANGES NAVEL,12/27/2019,1.71,No,No,No,Yes,Fruit
2524,CHERRIES RED VARIETIES,12/27/2019,5.43,No,Yes,No,No,Fruit
301,BRUSSELS SPROUTS  ,12/27/2019,2.16,No,No,Yes,Yes,Vegetable
945,ASPARAGUS GREEN,12/27/2019,3.99,Yes,No,No,No,Vegetable
347,CARROTS  ,12/27/2019,0.48,Yes,Yes,Yes,Yes,Vegetable
1722,PINEAPPLES  ,12/27/2019,0.99,Yes,No,Yes,Yes,Fruit
1721,PINEAPPLES  ,12/27/2019,0.73,Yes,No,Yes,Yes,Fruit
714,"TOMATOES VINE RIPES, ON THE VINE",12/27/2019,2.91,No,Yes,No,No,Fruit
715,"TOMATOES VINE RIPES, ON THE VINE",12/27/2019,2.22,No,Yes,No,No,Fruit
716,TOMATOES VINE RIPE - HEIRLOOM VARIETIES,12/27/2019,2.99,No,Yes,No,No,Fruit
1850,PEARS D'ANJOU,12/27/2019,1.18,No,No,Yes,Yes,Fruit
1141,LIMES  ,12/27/2019,0.79,Yes,Yes,Yes,Yes,Fruit
2181,APPLES GOLDEN DELICIOUS,12/27/2019,0.79,Yes,Yes,Yes,Yes,Fruit
182,BROCCOLI CROWN CUT,12/27/2019,2.05,Yes,No,Yes,No,Vegetable
1846,PEARS BARTLETT,12/27/2019,1.14,No,No,Yes,Yes,Fruit
1313,GRAPES WHITE SEEDLESS TYPE,12/27/2019,2.18,No,No,Yes,No,Fruit
1847,PEARS BARTLETT,12/27/2019,1.99,No,No,Yes,Yes,Fruit
1312,GRAPES RED SEEDLESS,12/27/2019,1.86,No,No,Yes,No,Fruit
1311,GRAPES BLACK SEEDLESS,12/27/2019,1.99,No,No,Yes,No,Fruit
1310,GRAPES RED GLOBE,12/27/2019,1.39,No,No,Yes,No,Fruit
1848,PEARS BOSC,12/27/2019,1.13,No,No,Yes,Yes,Fruit
487,CABBAGE ROUND GREEN TYPE,12/27/2019,0.34,Yes,No,Yes,Yes,Vegetable
562,SWEET POTATOES  ,12/27/2019,1.69,No,No,Yes,Yes,Vegetable
563,SWEET POTATOES  ,12/27/2019,0.58,No,No,Yes,Yes,Vegetable
407,CAULIFLOWER  ,12/27/2019,1.77,No,No,Yes,No,Vegetable
181,BROCCOLI CROWN CUT,12/27/2019,1.99,Yes,No,Yes,No,Vegetable
180,BROCCOLI  ,12/27/2019,2.44,Yes,No,Yes,No,Vegetable
1194,LEMONS  ,12/27/2019,2.0,Yes,Yes,Yes,Yes,Fruit
1851,PEARS D'ANJOU,12/27/2019,1.69,No,No,Yes,Yes,Fruit
406,CAULIFLOWER  ,12/27/2019,1.44,No,No,Yes,No,Vegetable
1195,LEMONS  ,12/27/2019,0.58,Yes,Yes,Yes,Yes,Fruit
179,BROCCOLI  ,12/27/2019,0.81,Yes,No,Yes,No,Vegetable
348,CARROTS  ,12/6/2019,0.38,Yes,Yes,Yes,Yes,Vegetable
718,"TOMATOES VINE RIPES, ON THE VINE",12/6/2019,1.65,No,Yes,No,No,Fruit
1724,PINEAPPLES  ,12/6/2019,0.72,Yes,No,Yes,Yes,Fruit
717,"TOMATOES VINE RIPES, ON THE VINE",12/6/2019,1.48,No,Yes,No,No,Fruit
1723,PINEAPPLES  ,12/6/2019,0.99,Yes,No,Yes,Yes,Fruit
1852,PEARS BARTLETT,12/6/2019,1.59,No,No,Yes,Yes,Fruit
15,CUCUMBERS  ,12/6/2019,0.99,No,Yes,No,No,Vegetable
14,CUCUMBERS  ,12/6/2019,0.99,No,Yes,No,No,Vegetable
1317,GRAPES BLACK SEEDLESS,12/6/2019,1.13,No,No,Yes,No,Fruit
1856,PEARS D'ANJOU,12/6/2019,1.49,No,No,Yes,Yes,Fruit
1855,PEARS D'ANJOU,12/6/2019,0.99,No,No,Yes,Yes,Fruit
1854,PEARS BOSC,12/6/2019,1.0,No,No,Yes,Yes,Fruit
1853,PEARS BOSC,12/6/2019,1.49,No,No,Yes,Yes,Fruit
1857,PEARS BARTLETT,12/6/2019,1.49,No,No,Yes,Yes,Fruit
946,ASPARAGUS GREEN,12/6/2019,2.41,Yes,No,No,No,Vegetable
1033,ORANGES NAVEL,12/6/2019,1.48,No,No,No,Yes,Fruit
1316,GRAPES RED SEEDLESS,12/6/2019,1.66,No,No,Yes,No,Fruit
183,BROCCOLI CROWN CUT,12/6/2019,1.99,Yes,No,Yes,No,Vegetable
184,BROCCOLI CROWN CUT,12/6/2019,2.47,Yes,No,Yes,No,Vegetable
185,BROCCOLI  ,12/6/2019,1.05,Yes,No,Yes,No,Vegetable
719,TOMATOES VINE RIPES,12/6/2019,0.44,No,Yes,No,No,Fruit
565,SWEET POTATOES  ,12/6/2019,0.54,No,No,Yes,Yes,Vegetable
1196,LEMONS  ,12/6/2019,0.88,Yes,Yes,Yes,Yes,Fruit
1496,GRAPEFRUIT RED,12/6/2019,0.84,No,No,No,Yes,Fruit
2673,MUSHROOMS WHITE,12/6/2019,3.99,Yes,No,Yes,No,Vegetable
115,BEETS  ,12/6/2019,0.67,No,Yes,Yes,Yes,Vegetable
564,SWEET POTATOES  ,12/6/2019,2.69,No,No,Yes,Yes,Vegetable
2724,AVOCADOS HASS,12/6/2019,1.0,Yes,Yes,No,Yes,Vegetable
2589,BANANAS  ,12/6/2019,0.42,Yes,Yes,Yes,Yes,Fruit
2588,BANANAS  ,12/6/2019,0.94,Yes,Yes,Yes,Yes,Fruit
488,CABBAGE ROUND GREEN TYPE,12/6/2019,0.51,Yes,No,Yes,Yes,Vegetable
610,TOMATILLOS  ,12/6/2019,0.79,No,Yes,No,No,Fruit
1034,ORANGES NAVEL,12/6/2019,0.91,No,No,No,Yes,Fruit
1142,LIMES  ,12/6/2019,0.76,Yes,Yes,Yes,Yes,Fruit
1314,GRAPES WHITE SEEDLESS TYPE,12/6/2019,1.86,No,No,Yes,No,Fruit
1315,GRAPES RED SEEDLESS,12/6/2019,3.03,No,No,Yes,No,Fruit
302,BRUSSELS SPROUTS  ,12/6/2019,2.4,No,No,Yes,Yes,Vegetable
720,TOMATOES  ,12/6/2019,0.71,No,Yes,No,No,Fruit
2196,APPLES BRAEBURN,12/6/2019,1.49,Yes,Yes,Yes,Yes,Fruit
2186,APPLES JONAGOLD,12/6/2019,1.37,Yes,Yes,Yes,Yes,Fruit
2183,APPLES RED DELICIOUS,12/6/2019,1.62,Yes,Yes,Yes,Yes,Fruit
2187,APPLES HONEYCRISP,12/6/2019,2.29,Yes,Yes,Yes,Yes,Fruit
2195,APPLES FUJI,12/6/2019,0.83,Yes,Yes,Yes,Yes,Fruit
2194,APPLES FUJI,12/6/2019,1.37,Yes,Yes,Yes,Yes,Fruit
2184,APPLES PINK LADY/CRIPPS PINK,12/6/2019,1.99,Yes,Yes,Yes,Yes,Fruit
2188,APPLES HONEYCRISP,12/6/2019,1.7,Yes,Yes,Yes,Yes,Fruit
408,CAULIFLOWER  ,12/6/2019,0.86,No,No,Yes,No,Vegetable
2189,APPLES GRANNY SMITH,12/6/2019,0.99,Yes,Yes,Yes,Yes,Fruit
2185,APPLES PAULA RED,12/6/2019,0.69,Yes,Yes,Yes,Yes,Fruit
2190,APPLES GRANNY SMITH,12/6/2019,0.87,Yes,Yes,Yes,Yes,Fruit
2192,APPLES GALA,12/6/2019,1.33,Yes,Yes,Yes,Yes,Fruit
2191,APPLES GOLDEN DELICIOUS,12/6/2019,1.11,Yes,Yes,Yes,Yes,Fruit
2193,APPLES GALA,12/6/2019,0.94,Yes,Yes,Yes,Yes,Fruit
1860,PEARS BOSC,2/1/2019,1.08,No,No,Yes,Yes,Fruit
2525,CHERRIES RED VARIETIES,2/1/2019,4.99,No,Yes,No,No,Fruit
1858,PEARS D'ANJOU,2/1/2019,1.22,No,No,Yes,Yes,Fruit
1859,PEARS BOSC,2/1/2019,1.99,No,No,Yes,Yes,Fruit
1861,PEARS BARTLETT,2/1/2019,0.89,No,No,Yes,Yes,Fruit
2590,BANANAS  ,2/1/2019,0.4,Yes,Yes,Yes,Yes,Fruit
2591,BANANAS  ,2/1/2019,0.97,Yes,Yes,Yes,Yes,Fruit
566,SWEET POTATOES  ,2/1/2019,0.33,No,No,Yes,Yes,Vegetable
1725,PINEAPPLES  ,2/1/2019,0.47,Yes,No,Yes,Yes,Fruit
349,CARROTS  ,2/1/2019,0.33,Yes,Yes,Yes,Yes,Vegetable
947,ASPARAGUS GREEN,2/1/2019,2.72,Yes,No,No,No,Vegetable
1197,LEMONS  ,2/1/2019,0.81,Yes,Yes,Yes,Yes,Fruit
303,BRUSSELS SPROUTS  ,2/1/2019,2.49,No,No,Yes,Yes,Vegetable
2716,GARLIC  ,2/1/2019,3.98,Yes,Yes,Yes,No,Vegetable
2199,APPLES PINK LADY/CRIPPS PINK,2/1/2019,1.99,Yes,Yes,Yes,Yes,Fruit
188,BROCCOLI  ,2/1/2019,1.29,Yes,No,Yes,No,Vegetable
187,BROCCOLI  ,2/1/2019,1.62,Yes,No,Yes,No,Vegetable
186,BROCCOLI CROWN CUT,2/1/2019,1.59,Yes,No,Yes,No,Vegetable
1318,GRAPES RED GLOBE,2/1/2019,2.98,No,No,Yes,No,Fruit
1319,GRAPES RED SEEDLESS,2/1/2019,3.09,No,No,Yes,No,Fruit
1497,GRAPEFRUIT RED,2/1/2019,0.65,No,No,No,Yes,Fruit
2198,APPLES PINK LADY/CRIPPS PINK,2/1/2019,2.99,Yes,Yes,Yes,Yes,Fruit
2197,APPLES RED DELICIOUS,2/1/2019,0.84,Yes,Yes,Yes,Yes,Fruit
409,CAULIFLOWER  ,2/1/2019,1.31,No,No,Yes,No,Vegetable
1636,PLUMS  ,2/1/2019,1.69,No,Yes,No,No,Fruit
1035,ORANGES NAVEL,2/1/2019,0.99,No,No,No,Yes,Fruit
2207,APPLES BRAEBURN,2/1/2019,1.23,Yes,Yes,Yes,Yes,Fruit
722,TOMATOES VINE RIPE - HEIRLOOM VARIETIES,2/1/2019,3.99,No,Yes,No,No,Fruit
723,"TOMATOES VINE RIPES, ON THE VINE",2/1/2019,1.49,No,Yes,No,No,Fruit
2200,APPLES JONAGOLD,2/1/2019,1.69,Yes,Yes,Yes,Yes,Fruit
1543,PEACHES VARIOUS YELLOW FLESH VARIETIES,2/1/2019,1.77,No,Yes,No,No,Fruit
724,"TOMATOES VINE RIPES, ON THE VINE",2/1/2019,2.99,No,Yes,No,No,Fruit
1143,LIMES  ,2/1/2019,0.71,Yes,Yes,Yes,Yes,Fruit
611,TOMATILLOS  ,2/1/2019,0.56,No,Yes,No,No,Fruit
1320,GRAPES WHITE SEEDLESS TYPE,2/1/2019,3.1,No,No,Yes,No,Fruit
721,TOMATOES  ,2/1/2019,0.76,No,Yes,No,No,Fruit
